Designator,Mid X,Mid Y,Layer,Rotation
C1,20.48,30.64,Top,180.0
C2,18.41,37.94,Top,180.0
C3,11.75,37.94,Top,0.0
C4,14.92,32.54,Top,0.0
C5, 9.84,23.81,Top,0.0
C6,21.59, 1.43,Top,90.0
C7,10.16,34.13,Top,0.0
D1,21.59,34.45,Top,270.0
IC1, 6.35,28.26,Top,90.0
LED1, 0.00,23.81,Top,90.0
P1,20.48,25.88,Top,270.0
R1, 3.02,23.81,Top,0.0
R2,19.37,34.45,Top,90.0
R3,14.29,23.81,Top,180.0
R4,24.45, 9.21,Top,90.0
R5, 0.00,18.57,Top,270.0
R6, 2.22,18.57,Top,90.0
R7,11.11,19.05,Top,270.0
R8,13.34,19.05,Top,270.0
R9,15.56,19.05,Top,270.0
R10,24.45, 0.95,Top,270.0
R11,24.45, 5.08,Top,270.0
R12,12.70, 1.43,Top,90.0
R13, 3.18,37.47,Top,270.0
R14, 0.00,28.89,Top,270.0
R15, 1.11,43.66,Top,0.0
R16, 1.11,41.43,Top,0.0
R17,18.73, 1.43,Top,90.0
R18,15.88, 6.19,Top,90.0
R19, 3.18,33.34,Top,90.0
R20,15.08,14.29,Top,270.0
R21,12.70, 6.19,Top,270.0
R22,12.86,14.29,Top,270.0
T1,14.29,10.16,Top,180.0
T2,15.72, 1.43,Top,0.0
