"Part";"Value";"Device";"Package";"Description";"";
"C1";"47p";"C";"C025-025X050";"";"";
"C2";"100n";"C";"C025-025X050";"";"";
"C3";"22µ/16V";"CPOLE5-5";"E5-5";"";"";
"C4";"100n";"C";"C025-025X050";"";"";
"C5";"1µ";"CPOLE3,8-5";"E3,8-5";"";"";
"C6";"";"C";"C025-025X050";"";"";
"C7";"47p";"C";"C025-025X050";"";"";
"C8";"100n";"C";"C025-025X050";"";"";
"C9";"100n";"C";"C025-025X050";"";"";
"C10";"10n";"C";"C025-025X050";"";"";
"C11";"47n";"C";"C025-025X050";"";"";
"C12";"47p";"C";"C025-025X050";"";"";
"D1";"";"DIODED10";"D10";"";"";
"D2";"";"DIODED10";"D10";"";"";
"D3";"";"DIODED10";"D10";"";"";
"D4";"";"DIODED10";"D10";"";"";
"D5";"";"DIODED10";"D10";"";"";
"D6";"";"DIODED10";"D10";"";"";
"D7";"";"DIODED10";"D10";"";"";
"D8";"";"DIODED10";"D10";"";"";
"D9";"";"DIODED15";"D15";"";"";
"IC1";"ZX81ULA";"ZX81ULA";"DIL40";"";"";
"IC2";"2764";"2764";"DIL24";"";"";
"IC3";"Z80CPU";"Z80CPU";"DIL40";"";"";
"IC4";"4816";"4816";"DIL28";"";"";
"IC4A";"2114";"2114";"DIL18";"";"";
"IC4B";"2114";"2114";"DIL18";"";"";
"K1";"ZX81CONN";"ZX81CONN";"ZX81CON";"";"";
"K2";"MIC";"ZXKLINKE";"ZXKLINKE";"";"";
"K3";"EAR";"ZXKLINKE";"ZXKLINKE";"";"";
"K4";"DCIN";"ZXKLINKE";"ZXKLINKE";"";"";
"KB1";"ZXKBD5CON";"ZXKBD5CON";"ZXKDB5";"";"";
"KB2";"ZXKBD8CON";"ZXKBD8CON";"ZXKBD8";"";"";
"R1";"10k";"RR207/12";"R207/12";"";"";
"R2";"680";"RR207/12";"R207/12";"";"";
"R3";"not used";"RR207/12";"R207/12";"";"";
"R5";"330";"RR207/12";"R207/12";"";"";
"R6";"2k2";"RR207/12";"R207/12";"";"";
"R7";"470";"RRV";"RV";"";"";
"R8";"470";"RRV";"RV";"";"";
"R9";"470";"RRV";"RV";"";"";
"R10";"470";"RRV";"RV";"";"";
"R11";"470";"RRV";"RV";"";"";
"R12";"470";"RRV";"RV";"";"";
"R13";"470";"RRV";"RV";"";"";
"R14";"470";"RRV";"RV";"";"";
"R15";"220k";"RR207/12";"R207/12";"";"";
"R17";"1k";"RR207/12";"R207/12";"";"";
"R18";"1k";"RRV";"RV";"";"";
"R19";"1k";"RRV";"RV";"";"";
"R20";"1k";"RRV";"RV";"";"";
"R21";"1k";"RRV";"RV";"";"";
"R22";"1k";"RRV";"RV";"";"";
"R23";"1k";"RRV";"RV";"";"";
"R24";"1k";"RRV";"RV";"";"";
"R25";"1k";"RRV";"RV";"";"";
"R26";"1k";"RRV";"RV";"";"";
"R27";"1k";"RR207/12";"R207/12";"";"";
"R28";"680";"RR207/12";"R207/12";"";"";
"R29";"1M";"RR207/12";"R207/12";"";"";
"R30";"";"RR207/12";"R207/12";"";"";
"R31";"";"RR207/12";"R207/12";"";"";
"R32";"";"RR207/12";"R207/12";"";"";
"R33";"4k7";"RR207/12";"R207/12";"";"";
"R34";"220";"RR207/12";"R207/12";"";"";
"REG1";"7805";"78XX";"78XXL";"";"";
"RP1";"not used";"RSIL8";"SIL9";"";"";
"RP2";"10k";"RSIL9";"SIL10";"";"";
"RP3";"RSIL5";"RSIL5";"SIL6";"";"";
"T1";"";"T-NPN-ZTX313TO92FLAT";"TO92FLAT";"";"";
"T2";"";"T-NPN-ZTX313TO92FLAT";"TO92FLAT";"";"";
"X1";"6,5MHz";"CRYSTAL";"HC49";"";"";
"_R4";"18k";"RR207/12";"R207/12";"";"";
"_R16";"";"RR207/12";"R207/12";"";"";
